Date,Slope,Slope_Cam
04/01/1996,-1.045535066,-1.045535066
05/01/1996,-0.985267703,-0.985267703
08/01/1996,-1.009860402,-1.009860402
09/01/1996,-1.187096368,-1.187096368
10/01/1996,-1.159395976,-1.159395976
11/01/1996,-1.109566396,-1.109566396
12/01/1996,-1.06234149,-1.06234149
15/01/1996,-1.135217099,-1.135217099
16/01/1996,-1.081573387,-1.081573387
17/01/1996,-1.066448457,-1.066448457
18/01/1996,-1.075084581,-1.075084581
19/01/1996,-1.014406105,-1.014406105
22/01/1996,-1.083082255,-1.083082255
23/01/1996,-1.084587778,-1.084587778
24/01/1996,-1.032520482,-1.032520482
25/01/1996,-1.108489673,-1.108489673
26/01/1996,-1.050654373,-1.050654373
29/01/1996,-1.073472937,-1.073472937
30/01/1996,-1.128420115,-1.128420115
31/01/1996,-1.156162222,-1.156162222
01/02/1996,-1.184517638,-1.184517638
02/02/1996,-1.233170754,-1.233170754
05/02/1996,-1.260072479,-1.260072479
06/02/1996,-1.291595266,-1.291595266
07/02/1996,-1.233958655,-1.233958655
08/02/1996,-1.225847358,-1.225847358
09/02/1996,-1.174526417,-1.174526417
12/02/1996,-1.230498768,-1.230498768
13/02/1996,-1.237356154,-1.237356154
14/02/1996,-1.277144191,-1.277144191
15/02/1996,-1.243781062,-1.243781062
16/02/1996,-1.117283197,-1.117283197
20/02/1996,-1.116131579,-1.116131579
21/02/1996,-1.019049134,-1.019049134
22/02/1996,-1.105528282,-1.105528282
23/02/1996,-1.06403611,-1.06403611
26/02/1996,-1.118909418,-1.118909418
27/02/1996,-1.114429365,-1.114429365
28/02/1996,-1.10665903,-1.10665903
29/02/1996,-1.130180508,-1.130180508
01/03/1996,-1.086421418,-1.086421418
04/03/1996,-1.066336179,-1.066336179
05/03/1996,-1.023966721,-1.023966721
06/03/1996,-1.046364418,-1.046364418
07/03/1996,-1.061616286,-1.061616286
08/03/1996,-1.30342671,-1.30342671
11/03/1996,-1.189083933,-1.189083933
12/03/1996,-1.165314721,-1.165314721
13/03/1996,-1.112129516,-1.112129516
14/03/1996,-1.00081626,-1.00081626
15/03/1996,-0.968387161,-0.968387161
18/03/1996,-1.133087287,-1.133087287
19/03/1996,-1.255699149,-1.255699149
20/03/1996,-1.186697159,-1.186697159
21/03/1996,-1.1097721,-1.1097721
22/03/1996,-1.045922111,-1.045922111
25/03/1996,-1.163937781,-1.163937781
26/03/1996,-1.13560771,-1.13560771
27/03/1996,-1.129390953,-1.129390953
28/03/1996,-1.102022851,-1.102022851
29/03/1996,-1.133081588,-1.133081588
01/04/1996,-1.085486058,-1.085486058
02/04/1996,-0.94652498,-0.94652498
03/04/1996,-0.947391807,-0.947391807
04/04/1996,-0.943204087,-0.943204087
08/04/1996,-1.042038005,-1.042038005
09/04/1996,-0.962925279,-0.962925279
10/04/1996,-1.277139793,-1.277139793
11/04/1996,-1.106283749,-1.106283749
12/04/1996,-0.9490446,-0.9490446
15/04/1996,-0.898100503,-0.898100503
16/04/1996,-0.935182376,-0.935182376
17/04/1996,-0.974967559,-0.974967559
18/04/1996,-0.933770593,-0.933770593
19/04/1996,-0.83389172,-0.83389172
