This file contains the principal components of the VIX term structure from 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The principal components are standardized to have mean zero and standard deviation one,,,,,,
The dates are in YYYYMMDD format,,,,,,
,,,,,,
,PC1,PC2,PC3,PC4,PC5,PC6
VIX_1^2,0.51968, -0.56870, -0.55366, 0.16303, 0.03370, -0.26881
VIX_2^2,0.47462, -0.24053, 0.24564, -0.26279, 0.03584, 0.76563
VIX_3^2,0.43583, -0.01249, 0.60790, -0.32293, -0.00583, -0.57969
VIX_6^2,0.36150, 0.29878, 0.15584, 0.65321, -0.56929, 0.07062
VIX_9^2,0.31765, 0.44323, -0.02943, 0.30580, 0.77965, 0.02023
VIX_12^2,0.28832, 0.57693, -0.48829, -0.52905, -0.25611, -0.01042
,,,,,,
,PC1,PC2,PC3,PC4,PC5,PC6,
19960104, -0.80937, -0.88016, 0.02474, -0.20233, -0.04953, 0.03646
19960105, -0.80804, -0.83101, 0.12049, 0.03777, 0.25130, 0.12804
19960108, -0.83236, -0.85582, 0.10951, -0.12967, -0.00163, 0.12033
19960109, -0.75452, -1.05163, -0.59559, 0.02112, 0.02071, 0.04189
19960110, -0.70903, -1.03497, -0.23587, -0.24297, 0.06804, -0.02646
19960111, -0.76914, -0.94697, 0.18594, -0.48339, -0.04605, 0.02932
19960112, -0.77837, -0.90045, 0.02674, -0.44521, -0.02649, 0.05698
19960115, -0.74463, -0.97154, -0.07135, -0.42619, -0.02445, -0.03589
19960116, -0.79218, -0.92024, 0.00474, -0.42430, 0.00154, 0.02672
19960117, -0.78407, -0.89392, -0.01108, -0.35758, -0.02929, 0.04129
19960118, -0.79554, -0.91445, 0.13067, -0.39209, -0.01130, 0.04900
19960119, -0.82974, -0.85701, 0.20828, -0.52858, -0.01217, 0.09861
19960122, -0.80811, -0.89893, 0.15134, -0.37336, -0.09930, -0.04466
19960123, -0.80964, -0.88360, 0.19949, -0.17606, -0.00667, -0.01257
19960124, -0.84097, -0.84867, 0.33948, -0.18234, -0.01818, 0.10325
19960125, -0.84311, -0.90528, 0.16180, -0.21830, -0.01635, -0.05100
19960126, -0.87742, -0.85940, 0.16433, -0.12225, -0.02695, 0.16834
19960129, -0.88011, -0.88586, 0.05828, -0.06088, -0.01298, 0.19580
19960130, -0.90423, -0.93654, -0.25414, 0.08262, -0.03941, 0.29797
19960131, -0.91952, -0.93536, -0.40505, 0.07855, -0.01944, 0.27434
19960201, -0.91660, -0.97068, -0.26572, 0.06864, -0.03760, 0.25125
19960202, -0.87757, -1.00726, -0.15230, -0.12029, -0.03956, 0.18974
19960205, -0.85634, -1.07493, 0.01503, -0.22106, -0.03804, -0.05288
19960206, -0.80247, -1.12417, 0.10977, -0.30039, -0.01518, 0.05575
19960207, -0.81477, -1.07199, 0.26025, -0.15968, -0.07834, -0.00124
