,date,close
0,2011-10-05,113.87
1,2011-10-06,115.42
2,2011-10-07,116.1
3,2011-10-10,116.81
4,2011-10-11,118.91
5,2011-10-12,121.6
6,2011-10-13,121.98
7,2011-10-14,121.9
8,2011-10-17,124.46
9,2011-10-18,127.99
10,2011-10-19,122.57
11,2011-10-20,122.57
12,2011-10-21,127.19
13,2011-10-24,124.85
14,2011-10-25,122.65
15,2011-10-27,122.82
16,2011-10-28,121.18
17,2011-10-31,121.18
18,2011-11-01,126.65
19,2011-11-02,123.95
20,2011-11-03,124.19
21,2011-11-04,123.56
22,2011-11-07,124.93
23,2011-11-08,124.77
24,2011-11-09,122.87
25,2011-11-10,125.24
26,2011-11-11,124.56
27,2011-11-15,124.97
28,2011-11-16,122.92
29,2011-11-17,121.59
30,2011-11-18,120.04
31,2011-11-21,115.15
32,2011-11-22,114.92
33,2011-11-23,116.78
34,2011-11-25,114.77
35,2011-11-28,118.63
36,2011-11-29,116.45
37,2011-11-30,116.56
38,2011-12-01,116.9
39,2011-12-02,116.31
40,2011-12-05,116.14
41,2011-12-06,115.16
42,2011-12-07,115.87
43,2011-12-08,115.37
44,2011-12-09,116.83
45,2011-12-12,120.26
46,2011-12-13,119.44
47,2011-12-14,120.66
48,2011-12-15,122.35
49,2011-12-16,119.22
50,2011-12-19,116.58
51,2011-12-20,120.66
52,2011-12-21,115.16
53,2011-12-22,115.56
54,2011-12-23,117.14
55,2011-12-27,116.53
56,2011-12-28,116.32
57,2011-12-29,116.57
58,2011-12-30,116.21
0,2012-01-03,117.1
1,2012-01-04,117.63
2,2012-01-05,117.76
3,2012-01-06,118.29
4,2012-01-09,119.07
5,2012-01-10,118.99
6,2012-01-11,120.2
7,2012-01-12,120.78
8,2012-01-13,121.92
9,2012-01-17,125.63
10,2012-01-18,130.78
11,2012-01-19,129.6
12,2012-01-20,129.24
13,2012-01-23,125.83
14,2012-01-24,127.38
15,2012-01-25,125.22
16,2012-01-26,122.96
17,2012-01-27,121.5
18,2012-01-30,121.99
19,2012-01-31,121.96
20,2012-02-01,121.39
21,2012-02-02,122.26
22,2012-02-03,122.14
23,2012-02-06,123.63
24,2012-02-07,123.02
25,2012-02-08,124.76
26,2012-02-09,126.48
27,2012-02-10,129.59
28,2012-02-13,127.89
29,2012-02-14,129.96
30,2012-02-15,128.88
31,2012-02-16,130.29
32,2012-02-17,129.54
33,2012-02-21,128.46
34,2012-02-22,127.7
35,2012-02-23,127.81
36,2012-02-24,128.72
37,2012-02-27,126.98
38,2012-02-28,125.65
39,2012-02-29,124.59
40,2012-03-01,127.63
41,2012-03-02,125.2
42,2012-03-05,126.23
43,2012-03-06,126.49
44,2012-03-07,126.02
45,2012-03-08,125.08
46,2012-03-09,124.78
47,2012-03-12,139.25
48,2012-03-13,122.89
49,2012-03-14,118.82
50,2012-03-15,136.51
51,2012-03-16,138.43
52,2012-03-19,128.85
53,2012-03-20,128.02
54,2012-03-21,124.6
55,2012-03-22,121.17
56,2012-03-23,122.98
57,2012-03-26,118.02
58,2012-03-27,121.13
59,2012-03-28,121.61
60,2012-03-29,121.69
61,2012-03-30,124.97
62,2012-04-02,123.13
63,2012-04-03,123.84
64,2012-04-04,121.0
65,2012-04-05,120.61
66,2012-04-09,119.05
67,2012-04-10,119.27
68,2012-04-11,118.43
69,2012-04-12,119.87
70,2012-04-13,118.19
71,2012-04-16,116.67
72,2012-04-17,121.83
73,2012-04-18,119.5
74,2012-04-19,117.6
75,2012-04-20,118.05
76,2012-04-23,117.19
77,2012-04-24,118.36
78,2012-04-25,122.53
79,2012-04-26,121.03
