,date,VIX^2
0,1996-01-31,157.00089999999997
1,1996-02-01,160.0225
2,1996-02-02,175.0329
3,1996-02-05,181.1716
4,1996-02-06,212.8681
5,1996-02-07,199.0921
6,1996-02-08,192.9321
7,1996-02-09,214.03690000000003
8,1996-02-12,215.7961
9,1996-02-13,293.0944
10,1996-02-14,243.0481
11,1996-02-15,260.1769
12,1996-02-16,236.2369
13,1996-02-20,282.24
14,1996-02-21,209.38090000000003
15,1996-02-22,211.9936
16,1996-02-23,218.4484
17,1996-02-26,268.3044
18,1996-02-27,276.5569
19,1996-02-28,279.55839999999995
20,1996-02-29,290.3615999999999
21,1996-03-01,279.55839999999995
22,1996-03-04,277.88890000000004
23,1996-03-05,259.21000000000004
24,1996-03-06,274.2336
25,1996-03-07,271.92009999999993
26,1996-03-08,428.49
27,1996-03-11,413.3089
28,1996-03-12,364.4281
29,1996-03-13,328.6969
30,1996-03-14,286.6249
31,1996-03-15,273.5716
32,1996-03-18,299.63609999999994
33,1996-03-19,336.7225
34,1996-03-20,348.1956
35,1996-03-21,314.7076
36,1996-03-22,290.7025000000001
37,1996-03-25,318.2656
38,1996-03-26,316.8400000000001
39,1996-03-27,320.0521
40,1996-03-28,329.7856
41,1996-03-29,356.4544
42,1996-04-01,320.41
43,1996-04-02,270.6025
44,1996-04-03,266.66889999999995
45,1996-04-04,261.7924
46,1996-04-08,350.43839999999994
47,1996-04-09,299.9824
48,1996-04-10,408.8484
49,1996-04-11,386.1225
50,1996-04-12,302.0644
51,1996-04-15,283.24889999999994
52,1996-04-16,270.6025
53,1996-04-17,291.3849
54,1996-04-18,269.2881
55,1996-04-19,228.6144
56,1996-04-22,236.5444
57,1996-04-23,225.3001
58,1996-04-24,222.3081
59,1996-04-25,216.6784
60,1996-04-26,217.5625
61,1996-04-29,238.7025
62,1996-04-30,250.5889
63,1996-05-01,258.24490000000003
64,1996-05-02,346.7044
65,1996-05-03,278.89
66,1996-05-06,286.28640000000007
67,1996-05-07,284.59690000000006
68,1996-05-08,249.0084
69,1996-05-09,288.66009999999994
70,1996-05-10,243.6721
71,1996-05-13,229.8256
72,1996-05-14,222.01
73,1996-05-15,243.0481
74,1996-05-16,246.80410000000003
75,1996-05-17,228.91690000000003
76,1996-05-20,249.64
77,1996-05-21,256.0
78,1996-05-22,240.25
79,1996-05-23,261.4689000000001
80,1996-05-24,241.4916
81,1996-05-28,286.28640000000007
82,1996-05-29,294.12249999999995
83,1996-05-30,256.6404
84,1996-05-31,258.24490000000003
85,1996-06-03,284.2596
86,1996-06-04,261.7924
87,1996-06-05,257.2816
88,1996-06-06,283.5856
89,1996-06-07,259.21000000000004
90,1996-06-10,281.56840000000005
91,1996-06-11,278.2224
92,1996-06-12,289.0
93,1996-06-13,293.0944
94,1996-06-14,347.4496000000001
95,1996-06-17,304.8516
96,1996-06-18,304.5025
97,1996-06-19,307.6516
98,1996-06-20,287.9809
99,1996-06-21,249.64
100,1996-06-24,253.1281
101,1996-06-25,238.0849
102,1996-06-26,231.9529
103,1996-06-27,201.3561
104,1996-06-28,187.1424
105,1996-07-01,189.8884
106,1996-07-02,201.3561
107,1996-07-03,201.92410000000004
108,1996-07-05,258.8881
109,1996-07-08,269.61640000000006
110,1996-07-09,239.9401
111,1996-07-10,240.5601
112,1996-07-11,317.19609999999994
113,1996-07-12,292.0681
114,1996-07-15,404.4121
115,1996-07-16,404.0100000000001
116,1996-07-17,369.4084
117,1996-07-18,321.4849
118,1996-07-19,297.90760000000006
119,1996-07-22,416.5681
120,1996-07-23,464.4025
121,1996-07-24,459.67360000000014
122,1996-07-25,375.9721
123,1996-07-26,304.5025
124,1996-07-29,403.6081
125,1996-07-30,421.4809
126,1996-07-31,378.69160000000005
127,1996-08-01,351.9376000000001
128,1996-08-02,262.1161
129,1996-08-05,301.3696
130,1996-08-06,286.6249
131,1996-08-07,263.7376
132,1996-08-08,257.2816
133,1996-08-09,248.6929
134,1996-08-12,242.4249
135,1996-08-13,269.2881
136,1996-08-14,254.7216
137,1996-08-15,239.0116
138,1996-08-16,219.3361
139,1996-08-19,233.1729
140,1996-08-20,216.9729
141,1996-08-21,210.8304
142,1996-08-22,187.96410000000003
143,1996-08-23,201.0724
144,1996-08-26,236.5444
145,1996-08-27,228.3121
146,1996-08-28,228.01
147,1996-08-29,263.0884
148,1996-08-30,289.34010000000006
149,1996-09-03,341.14089999999993
150,1996-09-04,347.4496000000001
151,1996-09-05,420.66010000000006
152,1996-09-06,292.41
153,1996-09-09,267.6496
154,1996-09-10,264.0625
155,1996-09-11,257.9236
156,1996-09-12,255.0409
157,1996-09-13,231.04
158,1996-09-16,238.0849
159,1996-09-17,247.7476
160,1996-09-18,251.5396
161,1996-09-19,256.96090000000004
162,1996-09-20,244.9225
163,1996-09-23,270.9316
164,1996-09-24,270.6025
165,1996-09-25,263.0884
166,1996-09-26,259.5321
167,1996-09-27,259.21000000000004
168,1996-09-30,287.3024999999999
169,1996-10-01,290.7025000000001
170,1996-10-02,281.56840000000005
171,1996-10-03,281.2329
172,1996-10-04,219.04
173,1996-10-07,228.3121
174,1996-10-08,242.7364
175,1996-10-09,258.8881
176,1996-10-10,264.3876000000001
177,1996-10-11,227.1049
178,1996-10-14,228.91690000000003
179,1996-10-15,250.5889
180,1996-10-16,243.36
181,1996-10-17,237.4681
182,1996-10-18,227.4064
183,1996-10-21,255.36040000000003
184,1996-10-22,268.96
185,1996-10-23,270.6025
186,1996-10-24,285.2721
187,1996-10-25,298.9441
188,1996-10-28,336.3556
189,1996-10-29,334.1584000000001
190,1996-10-30,341.5104
191,1996-10-31,327.9720999999999
192,1996-11-01,320.0521
193,1996-11-04,325.4416
194,1996-11-05,311.52249999999987
195,1996-11-06,287.9809
196,1996-11-07,296.18410000000006
197,1996-11-08,249.0084
198,1996-11-11,225.3001
199,1996-11-12,235.9296
200,1996-11-13,221.7121
201,1996-11-14,190.1641
202,1996-11-15,206.2096
203,1996-11-18,228.6144
204,1996-11-19,231.9529
205,1996-11-20,254.0836
206,1996-11-21,248.6929
207,1996-11-22,222.6064
208,1996-11-25,253.1281
209,1996-11-26,287.9809
210,1996-11-27,287.6416000000001
211,1996-11-29,293.7796
212,1996-12-02,321.4849
213,1996-12-03,348.9424
214,1996-12-04,321.4849
215,1996-12-05,329.0596000000001
216,1996-12-06,354.1924
217,1996-12-09,315.0625
218,1996-12-10,319.6944
219,1996-12-11,387.3024
220,1996-12-12,418.2025
221,1996-12-13,444.7881
222,1996-12-16,483.56009999999986
223,1996-12-17,431.3929
224,1996-12-18,377.13640000000015
225,1996-12-19,352.3129
226,1996-12-20,355.3225000000001
227,1996-12-23,380.25
228,1996-12-24,348.9424
229,1996-12-26,345.5881
230,1996-12-27,365.9569
231,1996-12-30,380.64010000000013
232,1996-12-31,437.64640000000014
233,1997-01-02,446.8996
234,1997-01-03,365.9569
235,1997-01-06,395.6121
236,1997-01-07,374.42250000000007
237,1997-01-08,409.6576
238,1997-01-09,437.2281
239,1997-01-10,385.3369
240,1997-01-13,393.6256
241,1997-01-14,371.3329
242,1997-01-15,376.36
243,1997-01-16,384.5521
244,1997-01-17,347.0769
245,1997-01-20,345.9600000000001
246,1997-01-21,317.19609999999994
247,1997-01-22,292.0681
248,1997-01-23,341.14089999999993
249,1997-01-24,373.64889999999986
250,1997-01-27,406.4256
251,1997-01-28,430.1476
252,1997-01-29,409.2529
253,1997-01-30,379.08089999999993
254,1997-02-03,383.37639999999993
255,1997-02-04,377.5249
256,1997-02-05,443.52359999999993
257,1997-02-06,406.4256
258,1997-02-07,357.20999999999987
259,1997-02-10,426.4225
260,1997-02-11,398.8009
261,1997-02-12,379.4704
262,1997-02-13,369.7929
263,1997-02-14,367.8724
264,1997-02-18,388.09
265,1997-02-19,424.7721
266,1997-02-20,458.3881
267,1997-02-21,422.3025
268,1997-02-24,393.6256
269,1997-02-25,419.8401
270,1997-02-26,430.1476
271,1997-02-27,444.3664
272,1997-02-28,445.21
273,1997-03-03,436.3921
274,1997-03-04,425.1844
275,1997-03-05,379.86009999999993
276,1997-03-06,419.4304
277,1997-03-07,373.2624
278,1997-03-10,361.0
279,1997-03-11,370.5625
280,1997-03-12,384.5521
281,1997-03-13,391.6441
282,1997-03-14,392.4361
283,1997-03-17,438.9025
284,1997-03-18,451.9876
285,1997-03-19,472.62759999999986
286,1997-03-20,450.2884
287,1997-03-21,387.69610000000006
288,1997-03-24,402.40359999999987
289,1997-03-25,370.94760000000014
290,1997-03-26,335.6224
291,1997-03-27,420.25
292,1997-03-31,490.17960000000005
293,1997-04-01,434.3056
294,1997-04-02,453.69000000000005
295,1997-04-03,449.01610000000005
296,1997-04-04,369.7929
297,1997-04-07,342.6201000000001
298,1997-04-08,340.0336000000001
299,1997-04-09,344.4736
300,1997-04-10,361.38010000000014
301,1997-04-11,390.45760000000007
302,1997-04-14,364.4281
303,1997-04-15,333.0625
304,1997-04-16,311.1696
305,1997-04-17,350.06410000000005
306,1997-04-18,351.5625
307,1997-04-21,404.0100000000001
308,1997-04-22,381.0304
309,1997-04-23,419.4304
310,1997-04-24,433.88889999999986
311,1997-04-25,447.32249999999993
312,1997-04-28,455.3956
313,1997-04-29,392.4361
314,1997-04-30,402.40359999999987
315,1997-05-01,394.8169
316,1997-05-02,306.60010000000005
317,1997-05-05,405.2169
318,1997-05-06,434.72250000000014
319,1997-05-07,455.3956
320,1997-05-08,451.9876
321,1997-05-09,404.4121
322,1997-05-12,410.0625
323,1997-05-13,433.0561
324,1997-05-14,444.7881
325,1997-05-15,396.4081
326,1997-05-16,465.2649
327,1997-05-19,461.3904
328,1997-05-20,370.94760000000014
329,1997-05-21,371.7184
330,1997-05-22,352.3129
331,1997-05-23,326.88639999999987
332,1997-05-27,374.8096
333,1997-05-28,371.7184
334,1997-05-29,361.7604
335,1997-05-30,368.25610000000006
336,1997-06-02,434.72250000000014
337,1997-06-03,400.40010000000007
338,1997-06-04,404.0100000000001
339,1997-06-05,414.5296
340,1997-06-06,358.7236000000001
341,1997-06-09,378.69160000000005
342,1997-06-10,362.5216
343,1997-06-11,355.3225000000001
344,1997-06-12,342.6201000000001
345,1997-06-13,371.3329
346,1997-06-16,390.8529
347,1997-06-17,406.82890000000015
348,1997-06-18,418.2025
349,1997-06-19,404.0100000000001
350,1997-06-20,408.04
351,1997-06-23,449.01610000000005
352,1997-06-24,430.1476
353,1997-06-25,462.25
354,1997-06-26,476.1124
355,1997-06-27,450.2884
356,1997-06-30,463.5409
357,1997-07-01,441.0
