,date,VRP
0,1996-01-31,-119.13575527355263
1,1996-02-01,-118.103667629689
2,1996-02-02,-112.40963239573298
3,1996-02-05,-109.96936464268276
4,1996-02-06,-98.16913709879171
5,1996-02-07,-103.70392136222594
6,1996-02-08,-105.17933929076355
7,1996-02-09,-95.92628551968645
8,1996-02-12,-95.00919055050272
9,1996-02-13,-65.62143184717536
10,1996-02-14,-84.78814558680844
11,1996-02-15,-77.47317169055833
12,1996-02-16,-86.81302986552788
13,1996-02-20,-69.23692258151488
14,1996-02-21,-97.66113275759662
15,1996-02-22,-97.28949504517553
16,1996-02-23,-96.15938293359181
17,1996-02-26,-76.3507021024808
18,1996-02-27,-73.91271362133381
19,1996-02-28,-72.6092686914555
20,1996-02-29,-68.44917920105229
21,1996-03-01,-72.37345690146537
22,1996-03-04,-72.77424952569913
23,1996-03-05,-80.36210729362386
24,1996-03-06,-74.79990412637272
25,1996-03-07,-75.4726156394147
26,1996-03-08,-15.11774714672947
27,1996-03-11,-25.45579774447731
28,1996-03-12,-44.30072669474009
29,1996-03-13,-58.11809993926414
30,1996-03-14,-73.99942316315577
31,1996-03-15,-79.06483877748417
32,1996-03-18,-68.79026215544332
33,1996-03-19,-55.84865399552888
34,1996-03-20,-51.32624596996948
35,1996-03-21,-63.58664903464148
36,1996-03-22,-72.14477844858197
37,1996-03-25,-60.23594263858524
38,1996-03-26,-60.78651280653304
39,1996-03-27,-58.81384808567253
40,1996-03-28,-55.14709151255789
41,1996-03-29,-44.83756095436462
42,1996-04-01,-58.59096235844777
43,1996-04-02,-78.32172038574805
44,1996-04-03,-79.36842363628728
45,1996-04-04,-80.95736953366458
46,1996-04-08,-46.766388903697305
47,1996-04-09,-67.64289715034204
48,1996-04-10,-21.240980458212107
49,1996-04-11,-30.343161326568236
50,1996-04-12,-62.57215562762417
51,1996-04-15,-70.14540472764077
52,1996-04-16,-75.33938183141646
53,1996-04-17,-67.43312890774644
54,1996-04-18,-74.54928865706756
55,1996-04-19,-90.19910278805918
56,1996-04-22,-87.14659584305468
57,1996-04-23,-91.5493113967998
58,1996-04-24,-92.83313115919665
59,1996-04-25,-95.01319615123225
60,1996-04-26,-94.65878840393145
61,1996-04-29,-86.35841222702686
62,1996-04-30,-81.80138907365208
63,1996-05-01,-78.72472040051866
64,1996-05-02,-43.97346167860286
65,1996-05-03,-71.41389481352638
66,1996-05-06,-68.60666912512607
