This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20040329, -3.087, -3.087, -3.087, -1.767, -1.767, -5.372
20040330, -1.665, -1.665, -1.665, -0.722, -0.722, 2.566
20040331, 0.923, 0.923, 0.923, -0.392, -0.392, 2.477
20040401, -0.281, -0.281, -0.281, -2.325, -2.325, 0.009
20040402, -4.637, -4.637, -4.637, -3.488, -3.488, -0.662
20040405, -1.339, -1.339, -1.339, -4.689, -4.689, -1.175
20040406, 1.650, 1.650, 0.433, 0.433, 2.825, 2.825
20040407, 1.522, 1.522, 2.107, 2.107, 0.460, 0.460
20040408, -0.030, -0.030, -0.972, -0.972, 0.488, 0.488
20040412, -2.570, -2.570, -0.314, -0.314, -1.218, -1.218
20040413, 3.707, 3.707, 2.124, 2.124, 2.298, 2.298
20040414, 0.807, 0.807, 2.868, 2.868, -4.433, -4.433
20040415, -0.666, -0.666, -0.440, -0.440, 1.295, 1.295
20040416, -2.039, -2.039, 0.137, 0.137, -1.543, -1.543
20040419, -0.901, -0.901, 1.676, 1.676, 0.967, 0.967
20040420, 1.484, 1.484, 1.744, 1.744, 0.419, 0.419
20040421, -2.412, -2.412, -1.232, -1.232, -1.565, -1.565
20040422, -6.940, -6.940, -5.578, -5.578, -3.274, -3.274
20040423, 0.145, 0.145, 2.126, 2.126, 0.871, 0.871
20040426, -1.129, -1.129, -0.954, -0.954, 0.104, 0.104
20040427, -1.677, -1.677, -1.339, -1.339, -0.104, -0.104
20040428, 3.168, 3.168, 2.780, 2.780, 4.453, 4.453
20040429, 2.171, 2.171, 1.871, 1.871, 3.566, 3.566
20040430, 1.976, 1.976, 1.027, 1.027, 2.178, 2.178
20040503, -2.914, -2.914, -3.324, -3.324, -1.690, -1.690
20040504, -1.218, -1.218, -0.264, -0.264, -1.464, -1.464
20040505, -2.947, -2.947, -2.404, -2.404, -0.998, -0.998
20040506, 4.047, 3.555, 3.555, 2.719, 2.719, 2.719
20040507, 3.246, 2.352, 2.352, 3.927, 3.927, 3.927
20040510, 3.787, 2.953, 2.953, 2.464, 2.464, 2.464
20040511, -2.914, -2.212, -2.212, -3.669, -3.669, -3.669
20040512, -1.637, -1.946, -1.946, 0.162, 0.162, 0.162
20040513, 0.039, 0.058, 0.058, -4.261, -4.261, -4.261
20040514, 0.448, 0.448, 0.448, 1.022, 1.022, 1.022
20040517, 2.763, 2.763, 2.763, 3.695, 3.695, 3.695
20040518, -0.693, -0.693, -0.693, 0.052, 0.052, 0.052
20040519, -4.437, -4.437, -4.437, -2.410, -2.410, -2.410
20040520, 0.852, 0.852, 0.852, -0.016, -0.016, -0.016
20040521, -0.788, -0.788, -0.788, 1.481, 1.481, 1.481
20040524, -2.052, -2.052, -2.052, -2.314, -2.314, -2.314
20040525, -6.437, -6.756, -6.756, -4.701, -4.701, -4.701
20040526, 0.591, 0.631, 0.631, 0.374, 0.374, 0.374
20040527, -1.337, -1.299, -1.299, -1.283, -1.283, -1.283
20040528, 1.168, 1.580, 1.580, -0.444, -0.444, -0.444
20040601, 0.289, 0.691, 0.691, 0.435, 0.435, 0.435
20040602, -0.050, -0.151, -0.151, -0.919, -0.919, -0.919
20040603, 0.614, 1.113, 1.113, 2.439, 2.439, 2.439
20040604, -0.091, 1.203, 1.203, 0.255, 0.255, 0.255
20040607, -2.949, -2.433, -2.433, -2.780, -2.780, -2.780
20040608, -2.006, -2.149, -2.149, -0.682, -0.682, -0.682
20040609, 0.612, 0.588, 0.588, 1.841, 1.841, 1.841
20040610, -1.854, -1.916, -1.916, 0.344, 0.344, 0.344
20040614, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
20040615, -1.935, -1.935, -1.935, 0.460, 0.460, 0.460
20040616, -0.829, -0.829, -0.829, -3.095, -3.095, -3.095
20040617, 0.202, 0.202, 0.202, -0.322, -0.322, -0.322
20040618, -0.734, -0.734, -0.734, 0.072, 0.072, 0.072
20040621, 1.295, 1.295, -0.534, -0.534, -0.534, -0.534
20040622, -2.722, -2.722, -2.518, -2.518, -3.517, -3.517
20040623, -5.470, -5.470, -4.704, -4.704, -3.438, -3.438
20040624, 1.645, 1.645, 2.399, 2.399, 1.140, 1.140
20040625, 1.089, 1.089, 0.353, 0.353, 2.948, 2.948
20040628, 0.754, 0.754, 0.379, 0.379, 0.930, 0.930
20040629, -1.685, -1.685, -0.861, -0.861, -1.351, -1.351
20040630, -2.473, -2.473, -1.135, -1.135, 0.079, 0.079
20040701, 1.331, 1.331, 0.599, 0.599, 2.591, 2.591
20040702, -0.363, -0.363, -0.067, -0.067, -0.359, -0.359
20040706, 3.256, 3.256, 2.852, 2.852, -0.053, -0.053
20040707, -2.137, -2.137, -1.597, -1.597, -1.311, -1.311
20040708, 1.957, 1.957, 2.236, 2.236, 1.151, 1.151
20040709, 1.177, 1.177, 1.177, 1.177, 1.272, 1.272
20040712, -0.041, -0.041, -0.041, -0.041, 0.017, 0.017
20040713, -1.341, -1.341, -1.341, -1.341, -0.351, -0.351
20040714, -0.320, -0.320, -0.320, -0.320, 0.921, 0.921
20040715, 0.574, 0.574, 0.574, 0.574, -2.280, -2.280
20040716, 0.618, 0.618, 0.618, 0.618, 1.638, 1.638
20040719, 0.133, 0.133, 0.133, 0.133, 0.944, 0.944
20040720, -2.740, -2.740, -1.529, -1.529, -2.505, -2.505
20040721, 3.731, 3.731, 6.305, 6.305, 2.164, 2.164
20040722, -3.601, -3.601, -1.896, -1.896, -1.711, -1.711
20040723, 0.058, 0.058, 1.500, 1.500, 3.617, 3.617
20040726, 0.787, 0.787, 0.249, 0.249, -0.298, -0.298
20040727, -3.171, -3.171, -2.240, -2.240, -1.350, -1.350
20040728, -1.771, -1.771, -0.948, -0.948, -3.550, -3.550
20040729, -2.353, -2.353, -0.010, -0.010, -0.250, -0.250
20040730, -0.643, -0.643, 0.129, 0.129, -0.550, -0.550
20040802, -1.521, -1.521, -1.621, -1.621, -0.525, -0.525
20040803, 0.304, 0.304, -0.588, -0.588, 1.326, 1.326
20040804, -0.323, -0.323, -1.555, -1.555, 0.440, 0.440
20040805, 3.403, 2.094, 2.094, 5.083, 5.083, 5.083
20040806, 2.944, 2.318, 2.318, 1.423, 1.423, 1.423
20040809, -2.081, -2.204, -2.204, -2.483, -2.483, -2.483
20040810, -3.589, -3.883, -3.883, -3.309, -3.309, -3.309
20040811, 0.821, 1.016, 1.016, 0.429, 0.429, 0.429
20040812, 0.462, -0.205, -0.205, 0.225, 0.225, 0.225
20040813, -1.689, -1.689, -1.689, 0.924, 0.924, 0.924
20040816, -2.825, -2.825, -2.825, -1.321, -1.321, -1.321
20040817, -1.676, -1.676, -1.676, -2.620, -2.620, -2.620
20040818, -2.069, -2.069, -2.069, -0.763, -0.763, -0.763
20040819, 0.451, 0.451, 0.451, 0.723, 0.723, 0.723
20040820, -1.322, -1.322, -1.322, -1.528, -1.528, -1.528
20040823, -0.904, -0.904, -0.904, 0.724, 0.724, 0.724
20040824, -2.051, -2.290, -2.290, -1.760, -1.760, -1.760
20040825, -3.809, -4.993, -4.993, -2.910, -2.910, -2.910
20040826, -0.362, -0.032, -0.032, 0.437, 0.437, 0.437
20040827, -1.248, -0.594, -0.594, -0.639, -0.639, -0.639
20040830, 1.316, 0.891, 0.891, -0.300, -0.300, -0.300
20040831, -0.794, 0.848, 0.848, -2.493, -2.493, -2.493
20040901, -1.203, -1.544, -1.544, -1.569, -1.569, -1.569
20040902, -4.098, -4.719, -4.719, -3.177, -3.177, -3.177
20040903, -0.693, -0.735, -0.735, 0.324, 0.324, 0.324
20040907, -2.224, -1.909, -1.909, -3.539, -3.539, -3.539
20040908, -0.306, 0.233, 0.233, -0.798, -0.798, -0.798
20040909, -0.818, -0.830, -0.830, -0.264, -0.264, -0.264
20040910, -1.324, -1.324, -1.324, 0.120, 0.120, 0.120
20040913, -1.529, -1.529, -1.529, -1.357, -1.357, -1.357
20040914, -2.564, -2.564, -2.564, -4.198, -4.198, -4.198
20040915, 1.845, 1.845, 1.845, 2.378, 2.378, 2.378
20040916, 0.200, 0.200, 0.200, 0.331, 0.331, 0.331
20040917, 0.165, 0.165, 0.165, 0.633, 0.633, 0.633
20040920, 0.795, 0.795, 0.748, 0.748, 0.748, 0.748
20040921, -2.012, -2.012, -1.487, -1.487, -9.020, -9.020
20040922, 1.723, 1.723, 1.639, 1.639, 4.766, 4.766
20040923, 0.111, 0.111, 0.034, 0.034, 1.880, 1.880
20040924, -1.430, -1.430, -1.035, -1.035, -0.261, -0.261
20040927, 1.056, 1.056, 0.989, 0.989, 0.585, 0.585
20040928, -3.047, -3.047, -2.042, -2.042, -5.648, -5.648
20040929, -3.014, -3.014, -2.013, -2.013, -1.202, -1.202
20040930, -1.059, -1.059, -1.312, -1.312, -2.522, -2.522
20041001, -4.335, -4.335, -4.298, -4.298, -3.740, -3.740
20041004, 1.191, 1.191, 0.968, 0.968, -1.786, -1.786
20041005, 0.135, 0.135, 0.030, 0.030, 1.121, 1.121
20041006, -2.064, -2.064, -1.787, -1.787, -5.027, -5.027
20041007, 2.439, 2.439, 1.438, 1.438, 4.217, 4.217
20041008, 1.413, 1.413, 1.413, 1.413, 2.809, 2.809
20041011, -0.100, -0.100, -0.100, -0.100, 1.276, 1.276
20041012, 2.324, 2.324, 2.324, 2.324, -1.761, -1.761
20041013, 0.034, 0.034, 0.034, 0.034, 3.243, 3.243
20041014, 1.938, 1.938, 1.938, 1.938, 3.492, 3.492
20041015, -1.936, -1.936, -1.936, -1.936, -1.989, -1.989
20041018, -3.325, -3.325, -3.325, -3.325, -1.247, -1.247
20041019, 0.840, 0.840, 0.840, 0.840, 2.520, 2.520
20041020, 2.869, 2.869, 2.869, 2.869, 2.266, 2.266
20041021, -4.458, -4.458, -4.458, -1.015, -1.015, -1.015
20041022, 2.117, 2.117, 2.224, 2.224, 1.680, 1.680
20041025, 2.839, 2.839, -1.997, -1.997, 4.182, 4.182
20041026, -2.150, -2.150, -0.890, -0.890, -4.203, -4.203
20041027, 0.203, 0.203, -0.073, -0.073, -1.210, -1.210
20041028, -1.442, -1.442, 0.407, 0.407, -1.533, -1.533
20041029, 0.133, 0.133, -0.630, -0.630, -0.701, -0.701
20041101, 0.695, 0.695, 0.622, 0.622, 0.192, 0.192
20041102, -2.931, -2.931, -3.772, -3.772, -0.925, -0.925
20041103, -5.334, -5.334, -1.306, -1.306, -5.276, -5.276
