Date,vixo,vixh,vixl,vix
19960104,11.24,14.23,11.23,13.78
19960104,11.24,14.23,11.23,13.78
19960105,14.02,14.74,13.55,13.58
19960105,14.02,14.74,13.55,13.58
19960108,14.02,13.22,12.44,13.11
19960108,14.02,13.22,12.44,13.11
19960109,13.04,15.48,13.04,15.21
19960109,13.04,15.48,13.04,15.21
19960110,16.55,16.87,15.65,16.4
19960110,16.55,16.87,15.65,16.4
19960111,15.76,16.1,14.62,14.69
19960111,15.76,16.1,14.62,14.69
19960112,14.28,15,14.15,14.23
19960112,14.28,15,14.15,14.23
19960115,14.12,15.13,14.03,14.99
19960115,14.12,15.13,14.03,14.99
19960116,14.62,15.33,14.09,14.09
19960116,14.62,15.33,14.09,14.09
19960117,14,14.31,13.55,14.25
19960117,14,14.31,13.55,14.25
19960118,13.72,14.36,13.54,13.58
19960118,13.72,14.36,13.54,13.58
19960119,13.55,13.57,12.59,12.7
19960119,13.55,13.57,12.59,12.7
19960122,12.88,13.53,12.52,13.34
19960122,12.88,13.53,12.52,13.34
19960123,13.56,13.67,13.32,13.56
19960123,13.56,13.67,13.32,13.56
19960124,12.92,12.99,12.5,12.54
19960124,12.92,12.99,12.5,12.54
19960125,12.31,12.99,12.28,12.94
19960125,12.31,12.99,12.28,12.94
19960126,12.64,12.65,11.91,12
19960126,12.64,12.65,11.91,12
19960129,12.07,12.34,12.05,12.19
19960129,12.07,12.34,12.05,12.19
19960130,11.45,12.42,11.39,12.42
19960130,11.45,12.42,11.39,12.42
19960131,12.37,13.04,12.35,12.53
19960131,12.37,13.04,12.35,12.53
19960201,11.44,12.87,11.11,12.65
19960201,11.44,12.87,11.11,12.65
19960202,12.51,13.48,12.42,13.23
19960202,12.51,13.48,12.42,13.23
19960205,13.79,14.04,13.37,13.46
19960205,13.79,14.04,13.37,13.46
19960206,13.99,14.68,13.51,14.59
19960206,13.99,14.68,13.51,14.59
19960207,14.29,14.77,14.04,14.11
19960207,14.29,14.77,14.04,14.11
19960208,13.96,14.11,13.43,13.89
19960208,13.96,14.11,13.43,13.89
19960209,14.27,15.4,14.17,14.63
19960209,14.27,15.4,14.17,14.63
19960212,14.53,14.99,14.43,14.69
19960212,14.53,14.99,14.43,14.69
19960213,14.53,15.42,14.61,14.94
19960213,14.53,15.42,14.61,14.94
19960214,15.02,15.6,14.68,15.59
19960214,15.02,15.6,14.68,15.59
19960215,15.7,16.31,15.64,16.13
